	id	cycle	setting1	setting2	setting3	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	av1	av2	av3	av4	av5	av6	av7	av8	av9	av10	av11	av12	av13	av14	av15	av16	av17	av18	av19	av20	av21	sd1	sd2	sd3	sd4	sd5	sd6	sd7	sd8	sd9	sd10	sd11	sd12	sd13	sd14	sd15	sd16	sd17	sd18	sd19	sd20	sd21	ttf	label_bnc	label_mcc
0	1	1	-0.0007	-0.0004	100.0	518.67	641.82	1589.7	1400.6	14.62	21.61	554.36	2388.06	9046.19	1.3	47.47	521.66	2388.02	8138.62	8.4195	0.03	392	2388	100.0	39.06	23.419	518.67	641.82	1589.7	1400.6	14.62	21.61	554.36	2388.06	9046.19	1.3	47.47	521.66	2388.02	8138.62	8.4195	0.03	392.0	2388.0	100.0	39.06	23.419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	191	0	0
192	2	1	-0.0018	0.0006	100.0	518.67	641.89	1583.84	1391.28	14.62	21.6	554.53	2388.01	9054.72	1.3	46.93	522.33	2388.06	8137.72	8.3905	0.03	391	2388	100.0	38.94	23.4585	518.67	641.89	1583.84	1391.28	14.62	21.6	554.53	2388.01	9054.72	1.3	46.93	522.33	2388.06	8137.72	8.3905	0.03	391.0	2388.0	100.0	38.94	23.4585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	286	0	0
479	3	1	0.0008	0.0005	100.0	518.67	642.04	1584.2	1398.13	14.62	21.61	553.96	2388.06	9056.95	1.3	47.14	522.24	2388.0	8138.4	8.4207	0.03	391	2388	100.0	38.96	23.3205	518.67	642.04	1584.2	1398.13	14.62	21.61	553.96	2388.06	9056.95	1.3	47.14	522.24	2388.0	8138.4	8.4207	0.03	391.0	2388.0	100.0	38.96	23.3205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178	0	0
658	4	1	0.0025	0.0005	100.0	518.67	642.6	1585.4	1402.85	14.62	21.61	553.97	2388.06	9051.1	1.3	47.29	521.94	2388.07	8131.5	8.42	0.03	393	2388	100.0	39.04	23.3814	518.67	642.6	1585.4	1402.85	14.62	21.61	553.97	2388.06	9051.1	1.3	47.29	521.94	2388.07	8131.5	8.42	0.03	393.0	2388.0	100.0	39.04	23.3814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	188	0	0
847	5	1	0.0031	0.0002	100.0	518.67	641.77	1583.59	1395.26	14.62	21.61	554.39	2387.98	9066.49	1.3	47.19	522.34	2388.0	8152.22	8.4102	0.03	393	2388	100.0	38.98	23.4468	518.67	641.77	1583.59	1395.26	14.62	21.61	554.39	2387.98	9066.49	1.3	47.19	522.34	2388.0	8152.22	8.4102	0.03	393.0	2388.0	100.0	38.98	23.4468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	268	0	0
1	1	2	0.0019	-0.0003	100.0	518.67	642.15	1591.82	1403.14	14.62	21.61	553.75	2388.04	9044.07	1.3	47.49	522.28	2388.07	8131.49	8.4318	0.03	392	2388	100.0	39.0	23.4236	518.67	641.985	1590.76	1401.87	14.62	21.61	554.0550000000002	2388.05	9045.13	1.3	47.48	521.97	2388.045	8135.055	8.425650000000001	0.03	392.0	2388.0	100.0	39.03	23.4213	0.0	0.23334523779150926	1.4990663761154035	1.7960512242140465	0.0	0.0	0.4313351365238438	0.014142135623878862	1.4990663761166898	0.0	0.014142135623730647	0.4384062043356225	0.035355339059455995	5.041671349860484	0.008697413408594989	0.0	0.0	0.0	0.0	0.042426406871194464	0.0032526911934568185	190	0	0
193	2	2	0.0043	-0.0003	100.0	518.67	641.82	1587.05	1393.13	14.62	21.61	554.77	2387.98	9051.31	1.3	47.24	522.7	2387.98	8131.09	8.4167	0.03	392	2388	100.0	39.06	23.4085	518.67	641.855	1585.445	1392.205	14.62	21.605	554.65	2387.995	9053.015	1.3	47.085	522.5150000000001	2388.02	8134.405000000002	8.4036	0.03	391.5	2388.0	100.0	39.0	23.4335	0.0	0.049497474683013305	2.269812767608843	1.3081475451952898	0.0	0.0070710678118640685	0.16970562748477785	0.02121320343557713	2.411234123846024	0.0	0.21920310216783132	0.26162950903898563	0.05656854249487235	4.688117959267209	0.018526197667087702	0.0	0.7071067811865476	0.0	0.0	0.08485281374238891	0.03535533905932913	285	0	0
480	3	2	-0.001	0.0	100.0	518.67	642.66	1587.04	1398.62	14.62	21.61	554.76	2388.05	9059.67	1.3	47.35	522.03	2388.01	8137.38	8.3949	0.03	390	2388	100.0	39.07	23.4369	518.67	642.3499999999998	1585.62	1398.375	14.62	21.61	554.36	2388.0550000000007	9058.31	1.3	47.24500000000001	522.135	2388.005	8137.8899999999985	8.4078	0.03	390.5	2388.0	100.0	39.015	23.3787	0.0	0.4384062043357029	2.0081832585698174	0.346482322781254	0.0	0.0	0.5656854249492059	0.007071067811859044	1.923330444826303	0.0	0.14849242404917307	0.1484924240492007	0.0070710678120198215	0.7212489168096224	0.018243354954613114	0.0	0.7071067811865476	0.0	0.0	0.07778174593051983	0.08230722933011449	177	0	0
659	4	2	0.0002	-0.0004	100.0	518.67	642.45	1583.54	1410.36	14.62	21.61	554.62	2388.06	9048.41	1.3	47.35	521.7	2388.04	8129.53	8.3999	0.03	391	2388	100.0	39.02	23.4437	518.67	642.5250000000002	1584.47	1406.605	14.62	21.61	554.2950000000002	2388.06	9049.755	1.3	47.32	521.82	2388.0550000000007	8130.5149999999985	8.40995	0.03	392.0	2388.0	100.0	39.03	23.41255	0.0	0.10606601717800623	1.3152186130070684	5.310371926710885	0.0	0.0	0.4596194077711997	0.0	1.902117241392816	0.0	0.042426406871194464	0.16970562748477785	0.021213203435898692	1.3930003589373572	0.01421284630184914	0.0	1.4142135623730951	0.0	0.0	0.014142135623728137	0.044052752467922236	187	0	0
848	5	2	0.0002	0.0003	100.0	518.67	642.42	1589.69	1394.88	14.62	21.61	555.57	2388.01	9063.03	1.3	47.09	522.6	2387.99	8153.04	8.4053	0.03	392	2388	100.0	39.12	23.4075	518.67	642.095	1586.64	1395.0700000000004	14.62	21.61	554.98	2387.995	9064.76	1.3	47.14	522.47	2387.995	8152.63	8.40775	0.03	392.5	2388.0	100.0	39.05	23.42715	0.0	0.4596194077711997	4.313351365238117	0.26870057685088483	0.0	0.0	0.8343860018001711	0.021213203435898692	2.446589462904837	0.0	0.07071067811865074	0.18384776310849596	0.0070710678120198215	0.5798275605727632	0.003464823227813544	0.0	0.7071067811865476	0.0	0.0	0.09899494936611704	0.027789296500630608	267	0	0
2	1	3	-0.0043	0.0003	100.0	518.67	642.35	1587.99	1404.2	14.62	21.61	554.26	2388.08	9052.94	1.3	47.27	522.42	2388.03	8133.23	8.4178	0.03	390	2388	100.0	38.95	23.3442	518.67	642.1066666666667	1589.8366666666668	1402.6466666666665	14.62	21.61	554.1233333333333	2388.06	9047.733333333335	1.3	47.41	522.12	2388.0400000000004	8134.446666666668	8.423033333333334	0.03	391.33333333333326	2388.0	100.0	39.003333333333345	23.3956	0.0	0.2676440422152594	1.9186540421173064	1.8500090089872667	0.0	0.0	0.32715949219508944	0.01999999999998181	4.632022596375676	0.0	0.12165525060596488	0.4044749683230884	0.026457513110686292	3.7174498427465337	0.007639589866828331	0.0	1.1547005383792432	0.0	0.0	0.05507570547286168	0.04457308604976856	189	0	0
194	2	3	0.0018	0.0003	100.0	518.67	641.55	1588.32	1398.96	14.62	21.6	555.14	2388.04	9054.24	1.3	47.22	522.58	2387.99	8140.58	8.3802	0.03	391	2388	100.0	39.11	23.425	518.67	641.7533333333333	1586.4033333333334	1394.456666666667	14.62	21.60333333333333	554.8133333333334	2388.01	9053.423333333332	1.3	47.13	522.5366666666667	2388.01	8136.463333333332	8.395800000000001	0.03	391.33333333333326	2388.0	100.0	39.03666666666667	23.43066666666667	0.0	0.17953644012663292	2.308946368656817	4.008195770335301	0.0	0.0057735026918953655	0.3073000705065761	0.0300000000000864	1.8458692622538992	0.0	0.17349351572897476	0.1887679351302045	0.04358898943539317	4.868206377438335	0.01881834211613813	0.0	0.5773502691896216	0.0	0.0	0.08736894948054162	0.025477113912949385	284	0	0
481	3	3	0.0013	-0.0002	100.0	518.67	642.07	1580.75	1401.1	14.62	21.61	554.51	2388.03	9050.43	1.3	46.94	522.16	2388.01	8137.2	8.382	0.03	393	2388	100.0	39.03	23.3162	518.67	642.2566666666668	1583.996666666667	1399.2833333333335	14.62	21.61	554.41	2388.046666666667	9055.683333333334	1.3	47.14333333333334	522.1433333333333	2388.0066666666667	8137.66	8.3992	0.03	391.33333333333326	2388.0	100.0	39.02	23.357866666666666	0.0	0.3496188400720581	3.1499259250549385	1.5922416064571088	0.0	0.0	0.409267638593601	0.015275252316629616	4.7484453596241964	0.0	0.20502032419576066	0.1059874206372472	0.0057735026920551	0.6471475874941105	0.01970507548831051	0.0	1.5275252316519543	0.0	0.0	0.055677643628299835	0.06847863413747003	176	0	0
660	4	3	-0.0025	-0.0	100.0	518.67	642.16	1586.59	1398.65	14.62	21.61	553.52	2388.08	9052.57	1.3	47.4	521.35	2388.09	8131.24	8.415	0.03	391	2388	100.0	38.96	23.3314	518.67	642.4033333333333	1585.1766666666665	1403.9533333333334	14.62	21.61	554.0366666666667	2388.0666666666666	9050.693333333336	1.3	47.34666666666666	521.6633333333334	2388.066666666667	8130.756666666665	8.411633333333333	0.03	391.66666666666674	2388.0	100.0	39.00666666666667	23.3855	0.0	0.2236813209308562	1.5372160984497971	5.93245592763507	0.0	0.0	0.5530220007679343	0.011547005383782014	2.109605018322608	0.0	0.05507570547286168	0.2967041174863468	0.02516611478424306	1.0702491921666244	0.010464384039843169	0.0	1.1547005383792557	0.0	0.0	0.041633319989322334	0.056262154242440035	186	0	0
849	5	3	0.0002	-0.0005	100.0	518.67	642.07	1582.45	1396.29	14.62	21.61	554.49	2388.01	9068.21	1.3	47.11	522.85	2388.02	8148.42	8.399	0.03	393	2388	100.0	39.18	23.3298	518.67	642.0866666666667	1585.243333333333	1395.476666666667	14.62	21.61	554.8166666666667	2388.0	9065.91	1.3	47.13	522.5966666666667	2388.0033333333336	8151.2266666666665	8.404833333333334	0.03	392.66666666666674	2388.0	100.0	39.09333333333333	23.3947	0.0	0.32532035493234523	3.8928823939767008	0.7295432360958575	0.0	0.0	0.6543189843901697	0.017320508075968386	2.6382570003689896	0.0	0.05291502622128968	0.2550163393457976	0.015275252316666831	2.4649814062853856	0.005614564393907533	0.0	0.5773502691896216	0.0	0.0	0.1026320287889382	0.05954099428124995	266	0	0
3	1	4	0.0007	0.0	100.0	518.67	642.35	1582.79	1401.87	14.62	21.61	554.45	2388.11	9049.48	1.3	47.13	522.86	2388.08	8133.83	8.3682	0.03	392	2388	100.0	38.88	23.3739	518.67	642.1675	1588.075	1402.4525	14.62	21.61	554.205	2388.0725	9048.170000000002	1.3	47.34	522.3050000000002	2388.05	8134.2925	8.409325	0.03	391.5	2388.0	100.0	38.9725	23.390175	0.0	0.25011663945712914	3.855908885507118	1.5596447245020688	0.0	0.0	0.31310275203732674	0.02986078811195277	3.881554671348465	0.0	0.17165857586111713	0.4959502663237833	0.029439202887719836	3.050905603259772	0.028117298945667658	0.0	0.9999999999999952	0.0	0.0	0.07632168761236968	0.0379766924134624	188	0	0
195	2	4	0.0035	-0.0004	100.0	518.67	641.68	1584.15	1396.08	14.62	21.61	554.25	2387.98	9058.01	1.3	47.1	522.49	2387.93	8140.44	8.4018	0.03	391	2388	100.0	39.13	23.5027	518.67	641.735	1585.84	1394.8625	14.62	21.605	554.6725	2388.0025	9054.57	1.3	47.1225	522.5250000000002	2387.99	8137.457499999998	8.397300000000001	0.03	391.25	2388.0	100.0	39.06	23.448675	0.0	0.1511070260886068	2.196254387208637	3.3718281391554124	0.0	0.0057735026918951105	0.377215676591852	0.02872281323264423	2.744242457704712	0.0	0.14244882121894406	0.15588457268117956	0.05354126134732883	4.444445034721778	0.015655244062826784	0.0	0.4999999999999952	0.0	0.0	0.08524474568362997	0.041592337034603286	283	0	0
482	3	4	0.0008	-0.0002	100.0	518.67	642.5	1580.12	1395.76	14.62	21.61	554.48	2388.07	9060.43	1.3	47.44	522.31	2388.07	8139.35	8.394	0.03	391	2388	100.0	38.94	23.4901	518.67	642.3175	1583.0275	1398.4025	14.62	21.61	554.4275	2388.0525	9056.87	1.3	47.2175	522.185	2388.0225	8138.0825	8.3979	0.03	391.25	2388.0	100.0	39.0	23.390925	0.0	0.3103089857974888	3.2205317883852755	2.1894348585878847	0.0	0.0	0.3359935515254065	0.017078251276605987	4.545825924222559	0.0	0.2236626924634507	0.1201388086062703	0.0320156211872673	0.99660674290304	0.016297852619287314	0.0	1.2583057392117971	0.0	0.0	0.06055300708195099	0.08658885128390915	175	0	0
661	4	4	0.0024	-0.0003	100.0	518.67	642.73	1583.96	1400.32	14.62	21.61	553.58	2388.08	9047.7	1.3	47.39	522.0	2388.01	8132.9	8.4309	0.03	392	2388	100.0	38.87	23.4338	518.67	642.485	1584.8725	1403.045	14.62	21.61	553.9225	2388.07	9049.945	1.3	47.3575	521.7475000000002	2388.0525	8131.2925	8.41645	0.03	391.75	2388.0	100.0	38.9725	23.397575	0.0	0.2450170062125117	1.3947849296575778	5.17329359950374	0.0	0.0	0.5059891303180747	0.011547005383825772	2.2818778816288297	0.0	0.04991659710624046	0.29499999999999843	0.03500000000004396	1.3827840274846814	0.012876464318023344	0.0	0.9574271077563404	0.0	0.0	0.07632168761236917	0.05189902857151359	185	0	0
850	5	4	0.0017	-0.0004	100.0	518.67	642.08	1586.84	1397.94	14.62	21.61	555.16	2387.96	9070.56	1.3	47.29	522.11	2387.99	8148.81	8.3876	0.03	390	2388	100.0	39.22	23.4306	518.67	642.085	1585.6425	1396.0925000000002	14.62	21.61	554.9025	2387.99	9067.0725	1.3	47.17	522.475	2388.0	8150.6225	8.400525	0.03	392.0	2388.0	100.0	39.125	23.403675	0.0	0.2656438718785908	3.2772485919340313	1.36814655647705	0.0	0.0	0.5611520887127529	0.02449489742788686	3.169525463955517	0.0	0.09092121131323673	0.32026031078900186	0.014142135623869937	2.3475146431914893	0.009760251021361526	0.0	1.4142135623730985	0.0	0.0	0.10503967504392474	0.051822992001619626	265	0	0
